Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Belgium,ANGOLA,LUANDA,2,,,,,81774,81904,1789,53.0%,1,788,41.3%,"1,911","1,046",788,41.2%
Belgium,ARGENTINA,BUENOS AIRES,,,,,,83107,83242,1808,60.0%,,,,12,10,,
Belgium,AUSTRALIA,CANBERRA,,,,,,84440,84580,1827,32.5%,,7,2.7%,260,231,7,2.7%
Belgium,AUSTRIA,VIENNA,,,,,,85773,85918,1846,100.0%,,,,1,1,,
Belgium,BELGIUM,BRUSSELS,,,,,,87105,87256,1866,43.5%,,,,26,23,,
Belgium,BRAZIL,SAO PAULO,,,,,,88438,88594,1885,69.6%,,7,18.4%,38,23,7,18.4%
Belgium,BULGARIA,SOFIA,,,,,,89771,89932,1904,52.8%,,4,4.8%,83,72,4,4.8%
Belgium,BURKINA FASO,OUAGADOUGOU,,,,,,91104,91269,1923,43.9%,1,550,19.7%,"2,79","2,065",550,19.7%
Belgium,BURUNDI,BUJUMBURA,,,,,,92437,92607,1942,13.9%,4,796,22.4%,"3,547","2,324",796,22.4%
Belgium,CAMEROON,YAONDE,1,,,,,93770,93945,1961,38.8%,,1540,35.4%,"4,35","2,493","1,54",35.4%
Belgium,CANADA,MONTREAL,,,,,,95102,95283,1980,18.5%,5,138,18.4%,750,524,138,18.4%
Belgium,CHILE,SANTIAGO DE CHILE,,,,,,96435,96621,1999,72.7%,1,9,13.2%,68,45,9,13.2%
Belgium,CHINA,BEIJING,,,,,,97768,97959,2018,40.1%,4,777,2.9%,"26,525","25,599",777,2.9%
Belgium,CHINA,GUANGZHOU (CANTON),,,,,,99101,99296,2037,22.6%,,192,3.4%,"5,685","5,476",192,3.4%
Belgium,CHINA,SHANGHAI,2,1,,1,50.0%,100434,100634,2056,31.6%,,225,3.1%,"7,367","7,046",226,3.1%
Belgium,COLOMBIA,BOGOTA,,,,,,101767,101972,2075,85.7%,,,,16,14,,
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2,1,,,,103099,103310,2094,29.5%,,1643,71.8%,"2,291","1,635","1,643",71.7%
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,,,,,,104432,104648,2113,27.1%,,72,86.7%,83,59,72,86.7%
Belgium,COTE D'IVOIRE,ABIDJAN,1,,,,,105765,105986,2132,43.4%,,984,36.6%,"2,689","1,624",984,36.6%
Belgium,CROATIA,ZAGREB,,,,,,107098,107324,2151,50.0%,,2,9.5%,21,16,2,9.5%
Belgium,CUBA,HAVANA,,,,,,108431,108661,2170,92.1%,1,174,12.3%,"1,414","1,128",174,12.3%
Belgium,CZECH REPUBLIC,PRAGUE,,,,,,109764,109999,2189,,,1,100.0%,1,,1,100.0%
Belgium,EGYPT,CAIRO,,,,,,111096,111337,2208,23.8%,15,1111,34.2%,"3,25","1,961","1,111",34.2%
Belgium,ETHIOPIA,ADDIS ABEBA,,,,,,112429,112675,2227,52.4%,28,149,13.2%,"1,132",886,149,13.2%
Belgium,FINLAND,HELSINKI,,,,,,113762,114013,2246,25.0%,,,,5,4,,
Belgium,FRANCE,PARIS,,,,,,115095,115351,2265,40.0%,1,,,7,6,,
Belgium,GERMANY,BERLIN,,,,,,116428,116688,2284,66.7%,,1,25.0%,4,3,1,25.0%
Belgium,GREECE,ATHENS,,,,,,117761,118026,2303,42.9%,1,,,9,8,,
Belgium,HONG KONG S.A.R.,HONG KONG,,,,,,119093,119364,2322,71.4%,,23,3.7%,622,588,23,3.7%
Belgium,HUNGARY,BUDAPEST,,,,,,120426,120702,2341,66.7%,1,,,4,4,,
Belgium,INDIA,MUMBAI,,,,,,121759,122040,2360,86.6%,,551,2.9%,"19,162","18,36",551,2.9%
Belgium,INDIA,NEW DELHI,,,,,,123092,123378,2379,66.6%,,888,12.5%,"7,117","6,052",888,12.5%
Belgium,INDONESIA,JAKARTA,,,,,,124425,124716,2398,32.1%,,2,0.8%,238,224,2,0.8%
Belgium,IRAN,TEHERAN,3,,,,,125758,126053,2417,20.6%,139,1883,29.9%,"6,309","3,999","1,883",29.8%
Belgium,IRELAND,DUBLIN,,,,,,127090,127391,2436,38.7%,,10,1.3%,763,682,10,1.3%
Belgium,ISRAEL,JERUSALEM,,,,,,128423,128729,2455,17.7%,19,267,35.1%,760,448,267,35.1%
Belgium,ISRAEL,TEL AVIV,1,2,,,,129756,130067,2474,48.8%,,12,12.4%,98,88,12,12.2%
Belgium,ITALY,ROME,,,,,,131089,131405,2493,66.7%,,,,3,3,,
Belgium,JAMAICA,KINGSTON,,,,,,132422,132743,2512,35.3%,,70,6.5%,"1,083",885,70,6.5%
Belgium,JAPAN,TOKYO,,,,,,133754,134080,2532,58.8%,,15,4.4%,338,311,15,4.4%
Belgium,JORDAN,AMMAN,,,,,,135087,135418,2551,37.8%,39,267,14.0%,"1,903","1,207",267,14.0%
Belgium,KENYA,NAIROBI,,,,,,136420,136756,2570,39.3%,42,208,12.6%,"1,651","1,343",208,12.6%
Belgium,KUWAIT,KUWAIT,,,,,,137753,138094,2589,86.4%,24,183,8.4%,"2,177","1,925",183,8.4%
Belgium,LEBANON,BEIRUT,,,,,,139086,139432,2608,33.5%,25,920,27.8%,"3,314","2,2",920,27.8%
Belgium,MALAYSIA,KUALA LUMPUR,,,,,,140419,140770,2627,30.2%,,18,14.2%,127,116,18,14.2%
Belgium,MEXICO,MEXICO CITY,,,,,,141751,142108,2646,68.6%,,,,56,51,,
Belgium,MOROCCO,CASABLANCA,,,,,,143084,143445,2665,52.8%,3,6111,47.4%,"12,889","5,812","6,111",47.4%
Belgium,MOROCCO,RABAT,,,,,,144417,144783,2684,94.2%,15,3,0.5%,567,528,3,0.5%
Belgium,NETHERLANDS,THE HAGUE,,,,,,145750,146121,2703,60.0%,,3,33.3%,9,5,3,33.3%
Belgium,NIGERIA,ABUJA,11,,,11,100.0%,147083,147459,2722,80.0%,77,1756,45.9%,"3,838","1,975","1,767",46.0%
Belgium,PAKISTAN,ISLAMABAD,,,,,,148416,148797,2741,19.1%,34,1354,48.1%,"2,813","1,211","1,354",48.1%
Belgium,PANAMA,PANAMA CITY,,,,,,149748,150135,2760,50.0%,,3,27.3%,11,8,3,27.3%
Belgium,PERU,LIMA,,,,,,151081,151472,2779,65.2%,1,11,10.3%,107,90,11,10.3%
Belgium,PHILIPPINES,MANILA,,,,,,152414,152810,2798,44.1%,3,501,8.5%,"5,882","5,264",501,8.5%
Belgium,POLAND,WARSAW,,,,,,153747,154148,2817,20.0%,,3,30.0%,10,5,3,30.0%
Belgium,PORTUGAL,LISBON,,,,,,155080,155486,2836,,,,,5,5,,
Belgium,QATAR,DOHA,,,,,,156413,156824,2855,65.5%,5,103,7.8%,"1,32","1,137",103,7.8%
Belgium,ROMANIA,BUCHAREST,,,,,,157745,158162,2874,49.2%,1,20,23.5%,85,64,20,23.5%
Belgium,RUSSIAN FEDERATION,MOSCOW,,,,,,159078,159500,2893,59.0%,21,465,3.4%,"13,859","13,234",465,3.4%
Belgium,RWANDA,KIGALI,5,,,,,160411,160837,2912,27.8%,4,1712,18.6%,"9,19","7,06","1,712",18.6%
Belgium,SAUDI ARABIA,RIYADH,,,,,,161744,162175,2931,60.0%,27,255,13.9%,"1,834","1,536",255,13.9%
Belgium,SENEGAL,DAKAR,2,,,,,163077,163513,2950,33.9%,,1890,55.1%,"3,433","1,379","1,89",55.1%
Belgium,SERBIA,BELGRADE,,,,,,164410,164851,2969,83.3%,,9,17.0%,53,42,9,17.0%
Belgium,SINGAPORE,SINGAPORE,,,,,,165742,166189,2988,39.1%,,5,0.5%,915,888,5,0.5%
Belgium,SOUTH AFRICA,CAPE TOWN,,,,,,167075,167527,3007,90.9%,,39,2.2%,"1,812","1,75",39,2.2%
Belgium,SOUTH AFRICA,JOHANNESBURG,,,,,,168408,168864,3026,57.2%,2,173,4.6%,"3,745","3,514",173,4.6%
Belgium,SOUTH KOREA,SEOUL,,,,,,169741,170202,3045,23.3%,,34,27.0%,126,90,34,27.0%
Belgium,SPAIN,MADRID,,,,,,171074,171540,3064,22.8%,1,6,9.5%,63,58,6,9.5%
Belgium,SWITZERLAND,BERN,,,,,,172407,172878,3083,33.3%,,,,6,3,,
Belgium,TAIWAN,TAIPEI,,,,,,173739,174216,3102,97.4%,,1,2.2%,45,38,1,2.2%
Belgium,TANZANIA,DAR ES SALAAM,,,,,,175072,175554,3121,13.1%,,56,6.9%,807,715,56,6.9%
Belgium,THAILAND,BANGKOK,,,,,,176405,176892,3140,12.3%,2,513,8.6%,"5,938","5,371",513,8.6%
Belgium,TUNISIA,TUNIS,,,,,,177738,178229,3159,45.6%,32,1113,30.5%,"3,655","2,474","1,113",30.5%
Belgium,TURKEY,ANKARA,,,,,,179071,179567,3178,29.6%,1,1097,58.3%,"1,882","1,138","1,097",58.3%
Belgium,TURKEY,ISTANBUL,,,,,,180403,180905,3198,56.6%,2,1200,14.2%,"8,465","6,315","1,2",14.2%
Belgium,UGANDA,KAMPALA,,,,,,181736,182243,3217,43.1%,,114,12.6%,905,736,114,12.6%
Belgium,UKRAINE,KYIV,,,,,,183069,183581,3236,53.9%,,38,7.6%,499,434,38,7.6%
Belgium,UNITED ARAB EMIRATES,ABU DHABI,,,,,,184402,184919,3255,81.7%,1,759,17.4%,"4,372","3,364",759,17.4%
Belgium,UNITED KINGDOM,LONDON,1,,,,,185735,186256,3274,64.3%,4,353,5.0%,"7,129","6,142",353,5.0%
Belgium,USA,"ATLANTA, GA",2,1,,,,187068,187594,3293,25.0%,,2,0.3%,675,582,2,0.3%
Belgium,USA,"LOS ANGELES, CA",,,,,,188400,188932,3312,27.8%,1,1,0.1%,"1,238","1,212",1,0.1%
Belgium,USA,"NEW YORK, NY",,,,,,189733,190270,3331,37.5%,,11,0.6%,"1,852",914,11,0.6%
